price,location,bed,bath,carport,surface_area,building_area
300000000.0,"Kasihan, Bantul",1.0,1.0,0.0,52,95
3300000000.0,"Depok, Sleman",40.0,42.0,1.0,110,400
995000000.0,"Depok, Sleman",3.0,2.0,1.0,109,75
410000000.0,"Kalasan, Sleman",2.0,1.0,1.0,112,60
245000000.0,"Prambanan, Sleman",2.0,1.0,1.0,75,36
2400000000.0,"Sleman, Sleman",4.0,3.0,1.0,403,220
1790000000.0,"Purwomartani   , Sleman",4.0,3.0,1.0,113,175
399000000.0,"Minggir, Sleman",2.0,1.0,0.0,100,45
550000000.0,"Mlati, Sleman",3.0,2.0,1.0,101,55
2400000000.0,"Gondokusuman, Yogyakarta",3.0,2.0,1.0,121,140
410000000.0,"Bantul, Bantul",2.0,1.0,1.0,80,42
2900000000.0,"Ngaglik, Sleman",3.0,3.0,2.0,140,115
650000000.0,"Kotagede, Yogyakarta",4.0,2.0,1.0,90,150
775000000.0,"Sleman, Yogyakarta",2.0,1.0,1.0,132,90
1000000000.0,"Ngaglik, Sleman",6.0,6.0,2.0,131,115
999000000.0,"Ngemplak, Sleman",3.0,3.0,1.0,103,100
7250000000.0,"Turi, Sleman",5.0,7.0,10.0,2770,700
1200000000.0,"Kaliurang, Sleman",4.0,2.0,0.0,766,400
695000000.0,"Pogung, Yogyakarta",2.0,2.0,1.0,100,65
675000000.0,"Bantul, Bantul",2.0,1.0,1.0,85,45
4250000000.0,"Mantrijeron, Yogyakarta",3.0,3.0,6.0,425,150
725000000.0,"Cebongan, Sleman",3.0,2.0,2.0,114,71
815000000.0,"Umbulharjo, Yogyakarta",2.0,2.0,1.0,75,50
455000000.0,"Sedayu, Bantul",2.0,1.0,1.0,83,45
1300000000.0,"Mlati, Sleman",3.0,1.0,2.0,126,80
690000000.0,"Bantul, Bantul",3.0,2.0,2.0,76,60
11000000000.0,"Ngaglik, Sleman",4.0,3.0,0.0,340,280
2430000000.0,"Sleman, Sleman",4.0,3.0,1.0,192,135
575000000.0,"Kalasan, Sleman",3.0,2.0,1.0,98,115
4200000000.0,"Mlati, Sleman",4.0,4.0,8.0,564,190
1850000000.0,"Depok, Sleman",3.0,2.0,1.0,126,115
580000000.0,"Sleman, Yogyakarta",3.0,2.0,0.0,90,65
